"country_region","total_cases","total_deaths","mortality_rate"
"Peru","1001391.0","115600.0","11.543942376154769"
"Belgium","303202.0","28331.0","9.343935726017637"
"Ecuador","549418.0","33681.0","6.130305159277635"
"Egypt","385575.0","21752.0","5.6414445957336445"
"Afghanistan","158084.0","7356.0","4.65322233749146"
"Bosnia and Herzegovina","291313.0","13442.0","4.61428085941925"
"Mexico","1003554.0","44835.0","4.4676220711591"
"Bulgaria","747108.0","30955.0","4.1433099364482775"
"Burma","530834.0","19268.0","3.6297599626248505"
"Paraguay","466101.0","16624.0","3.566608953853349"
"North Macedonia","225049.0","7960.0","3.5370074961452844"
"Tunisia","726706.0","25569.0","3.518479274975024"
"Brazil","4456108.0","155205.0","3.48297213622291"
"Indonesia","4262720.0","144094.0","3.3803299301854217"
"Bolivia","599753.0","19680.0","3.2813508227553676"
