"country_region","active_cases","recovered_cases"
"France","5658278.0","342647.0"
"United Kingdom","5084893.0","8322.0"
"US","1179853.0","0.0"
"Peru","850613.0","0.0"
"Spain","805666.0","40736.0"
"Mexico","763432.0","0.0"
"Serbia","716389.0","0.0"
"India","701614.0","6117560.0"
"Thailand","640009.0","26873.0"
"Indonesia","574135.0","2907920.0"
"Turkey","565274.0","5478185.0"
"Slovakia","508875.0","255300.0"
"Iran","482092.0","3444798.0"
"Netherlands","440546.0","13157.0"
"Poland","422097.0","2653981.0"
